col11, col12, col13, col21, col22, col23
6, 1174, 10, 4, 1174, 4
2, 1183, 4, 8, 1183, 9
5, 1192, 8, 1, 1192, 9
3, 1201, 4, 4, 1201, 8
4, 1210, 5, 3, 1210, 6
8, 1219, 8, 8, 1219, 5
2, 1228, 8, 10, 1228, 7
5, 1237, 3, 6, 1237, 1
3, 1246, 1, 9, 1246, 2
10, 1255, 7, 2, 1255, 7
7, 1264, 6, 8, 1264, 6
2, 1273, 1, 10, 1273, 1
10, 1282, 7, 3, 1282, 3
1, 1291, 4, 7, 1291, 6
6, 1300, 5, 6, 1300, 3
6, 1309, 1, 9, 1309, 1
7, 1318, 5, 6, 1318, 7
8, 1327, 10, 4, 1327, 2
3, 1336, 3, 1, 1336, 10
8, 1345, 8, 10, 1345, 1
1, 1354, 7, 7, 1354, 4
7, 1363, 7, 1, 1363, 3
10, 1372, 6, 1, 1372, 1
6, 1381, 7, 8, 1381, 8
5, 1390, 7, 1, 1390, 2
5, 1399, 4, 10, 1399, 7
3, 1408, 6, 10, 1408, 5
2, 1417, 8, 2, 1417, 5
9, 1426, 3, 6, 1426, 5
3, 1435, 4, 5, 1435, 10
8, 1444, 6, 10, 1444, 9
5, 1453, 9, 5, 1453, 8
8, 1462, 4, 6, 1462, 3
1, 1471, 2, 4, 1471, 1
1, 1480, 1, 6, 1480, 7
7, 1489, 8, 9, 1489, 4
8, 1498, 8, 8, 1498, 9
8, 1507, 1, 5, 1507, 6
6, 1516, 8, 10, 1516, 8
8, 1525, 9, 6, 1525, 10
2, 1534, 1, 4, 1534, 9
6, 1543, 7, 9, 1543, 5
7, 1552, 9, 2, 1552, 2
3, 1561, 8, 3, 1561, 4
6, 1570, 10, 3, 1570, 4
7, 1579, 9, 6, 1579, 2
9, 1588, 10, 3, 1588, 5
1, 1597, 6, 3, 1597, 3
8, 1606, 10, 9, 1606, 10
6, 1615, 10, 5, 1615, 10
8, 1624, 1, 7, 1624, 2
6, 1633, 5, 4, 1633, 4
6, 1642, 4, 10, 1642, 7
6, 1651, 5, 4, 1651, 8
10, 1660, 8, 4, 1660, 2
7, 1669, 6, 5, 1669, 8
5, 1678, 4, 9, 1678, 10
3, 1687, 2, 9, 1687, 7
8, 1696, 3, 1, 1696, 5
9, 1705, 1, 7, 1705, 7
6, 1714, 5, 4, 1714, 8
8, 1723, 2, 1, 1723, 4
3, 1732, 4, 2, 1732, 4
8, 1741, 3, 8, 1741, 8
6, 1750, 5, 1, 1750, 6
3, 1759, 8, 2, 1759, 5
1, 1768, 3, 7, 1768, 5
8, 1777, 8, 5, 1777, 3
10, 1786, 5, 2, 1786, 9
8, 1795, 4, 1, 1795, 4
5, 1804, 7, 3, 1804, 2
5, 1813, 1, 4, 1813, 5
5, 1822, 5, 10, 1822, 5
8, 1831, 7, 3, 1831, 2
4, 1840, 5, 8, 1840, 9
9, 1849, 7, 7, 1849, 10
10, 1858, 1, 3, 1858, 1
6, 1867, 10, 1, 1867, 2
3, 1876, 1, 8, 1876, 2
10, 1885, 7, 10, 1885, 6
6, 1894, 7, 2, 1894, 3
2, 1903, 8, 2, 1903, 6
10, 1912, 9, 10, 1912, 4
2, 1921, 3, 1, 1921, 2
6, 1930, 4, 6, 1930, 8
8, 1939, 6, 10, 1939, 7
8, 1948, 4, 6, 1948, 10
4, 1957, 10, 8, 1957, 4
2, 1966, 6, 4, 1966, 4
1, 1975, 7, 6, 1975, 10
1, 1984, 4, 2, 1984, 8
8, 1993, 6, 6, 1993, 6
6, 2002, 2, 5, 2002, 6
8, 2011, 3, 3, 2011, 5
9, 2020, 7, 5, 2020, 3
3, 2029, 4, 3, 2029, 6
1, 2038, 6, 7, 2038, 6
5, 2047, 2, 5, 2047, 3
10, 2056, 4, 1, 2056, 3
1, 2065, 1, 2, 2065, 2
5, 2074, 1, 5, 2074, 3
4, 2083, 3, 10, 2083, 9
8, 2092, 2, 8, 2092, 5
2, 2101, 7, 8, 2101, 5
3, 2110, 4, 6, 2110, 7
1, 2119, 1, 2, 2119, 2
1, 2128, 5, 6, 2128, 2
1, 2137, 8, 8, 2137, 10
2, 2146, 9, 5, 2146, 2
5, 2155, 6, 3, 2155, 5
2, 2164, 1, 3, 2164, 4
2, 2173, 9, 4, 2173, 6
9, 2182, 3, 6, 2182, 8
2, 2191, 5, 6, 2191, 3
2, 2200, 8, 7, 2200, 8
1, 2209, 7, 10, 2209, 1
10, 2218, 1, 1, 2218, 1
7, 2227, 3, 7, 2227, 2
3, 2236, 10, 2, 2236, 8
10, 2245, 5, 8, 2245, 1
5, 2254, 9, 5, 2254, 2
10, 2263, 7, 1, 2263, 8
9, 2272, 6, 7, 2272, 2
4, 2281, 10, 8, 2281, 10
8, 2290, 4, 3, 2290, 4
6, 2299, 2, 8, 2299, 6
9, 2308, 2, 6, 2308, 2
4, 2317, 6, 9, 2317, 1
6, 2326, 10, 6, 2326, 6
10, 2335, 5, 2, 2335, 3
4, 2344, 2, 8, 2344, 2
6, 2353, 6, 5, 2353, 6
5, 2362, 1, 8, 2362, 7
6, 2371, 4, 10, 2371, 9
10, 2380, 4, 5, 2380, 3
10, 2389, 4, 3, 2389, 6
8, 2398, 6, 7, 2398, 10
4, 2407, 6, 2, 2407, 9
7, 2416, 2, 6, 2416, 4
4, 2425, 7, 7, 2425, 5
9, 2434, 10, 6, 2434, 4
8, 2443, 6, 3, 2443, 9
6, 2452, 2, 10, 2452, 5
2, 2461, 10, 2, 2461, 5
6, 2470, 8, 10, 2470, 10
10, 2479, 1, 5, 2479, 10
4, 2488, 6, 9, 2488, 4
8, 2497, 7, 3, 2497, 8
1, 2506, 8, 8, 2506, 3
3, 2515, 3, 1, 2515, 3
10, 2524, 8, 6, 2524, 8
4, 2533, 4, 3, 2533, 3
6, 2542, 4, 7, 2542, 4
2, 2551, 3, 3, 2551, 8
9, 2560, 8, 3, 2560, 3
6, 2569, 7, 3, 2569, 2
8, 2578, 5, 10, 2578, 4
9, 2587, 8, 8, 2587, 8
4, 2596, 6, 10, 2596, 6
4, 2605, 3, 5, 2605, 4
1, 2614, 5, 3, 2614, 4
4, 2623, 5, 9, 2623, 1
7, 2632, 7, 10, 2632, 3
6, 2641, 5, 7, 2641, 2
3, 2650, 6, 6, 2650, 10
1, 2659, 3, 8, 2659, 1
7, 2668, 3, 5, 2668, 1
9, 2677, 1, 7, 2677, 1
3, 2686, 2, 2, 2686, 9
6, 2695, 10, 7, 2695, 7
